"number"	"text_data_clean"
"ACTRN12613000009718"	"the safety of the device will be measured through the safety data. all adverse events aes will be presented in the the listings. adverse events with a greater-than equal-to 5 percent incidence rate will be presented in the tables. the efficacy endpoints are change from baseline. the primary endpoint mean change will be presented as the mean at baseline mean at end of study eos and a mean change score with a 95 percent ci. the secondary endpoints will be presented as the mean at baseline end of study and mean change only."
"ACTRN12613000016730"	"mixed multivariate analysis-of-variance"
"ACTRN12613000021774"	"the normality of the data will be evaluated by the kolmogorov-smirnov test. when non-parametric distribution differences between-group at baseline will be tested using mann a whitney a s and kruskall wallis test will be used to compare differences between-group after treatment. when parametric distribution differences between-group at baseline were tested using t-test for independent measures and anova group x time adjusted by age of participants was used to compare differences between-group after treatment. chi-squared analysis will be used for categorical variables in any case. a spearman rho correlation will be used to find the relationship between changes in two variables. values will be shown as mean plus-or-minus se and statistical significance was set at p less-than 0.05. all statistical analyses will be performed with spss version 17.0 spss inc. chicago il usa."
"ACTRN12613000024741"	"comparison of mean ask scores pre and post ss and r course intervention."
"ACTRN12613000030774"	"the analysis will be primarily descriptive and will include tabular and graphical summaries of the safety and immunogenicity data supplemented by a complete listing of outcomes for each participant. the sample size chosen will not provide sufficient power to test for differences or similarities amongst the study product urine and recipients. preference will be given to reporting point and confidence interval estimates rather than p-value associated with formal hypothesis testing. all analyses will be regarded as exploratory and any significant findings will be regarded as hypothesis generating rather than hypothesis confirming."
"ACTRN12613000033741"	"data coding and analysis will be carried out by the authors using available software packages. data on screening refusals and drop-out are coded and reported as per consort and primary analyses use intention-to-treat. preliminary analyses check for any baseline or health service utilisation differences that may confound with condition effects later analyses control for these as necessary. categorical and continuous measures of outcome will be examined using mixed or marginal longitudinal models i.e. mixed model repeated measures generalised estimating equation modelling as appropriate. these approaches enable the inclusion of participants with missing data without using inferior techniques such as last observation carried forward when data is missing at random. a a approximately completers a analysis on all participants completing at least 75 percent of the modules will be undertaken as a secondary analysis. in addition comparisons on selected demographic and clinical characteristics will be made between a approximately completers a and those who dropped out of treatment to help detect any biases in outcome measures. the potential effects of a number of covariates and confounders will be modelled in the major analyses e.g. borderline symptoms msi-bpd medication status drug use index oti gender involvement in additional mental health treatments."
"ACTRN12613000034730"	"for this phase ii study the proportion of successes in each of the randomised groups together with the 95 percent confidence intervals will be reported. while there is no intention to make formal comparisons between the groups exploratory comparisons may be conducted to obtain estimates of the plausible range of success rates in order to better inform any subsequent studies. for continuous variables comparisons will be made using the t-test and chi-squared tests will be used for categorical variables. time-to-event will be described using the kaplan-meier and comparisons made using the log-rank test. exploratory analyses examining the impact of other variables will be performed using multiple regression linear logistic and proportional hazards techniques. the variability of pib readings is approximately 5 percent and based and an absolute improvement in the pib score of between 2 percent and 4 percent would still be considered a success as no pib deterioration is considered clinically worthwhile. currently it is anticipated that 1 percent of untreated placebo control participants would demonstrate a success at 13 months. for the intervention to be considered worthwhile to evaluate further in a broader population or larger study this proportion would be required to be at least 7 percent . the primary outcome of this study will be a success as measured by a 4 percent improvement in the baseline pib score and the primary endpoint for the study will be the proportion of successes."
"ACTRN12613000037707"	"analysis-of-covariance procedures will be used to compare post-intervention dependent variable results between-group controlling for the respective baseline score of the analysed variable."
"ACTRN12613000043730"	"the primary analyses will be conducted on an intention-to-treat basis. data will be coded to permit blinding to group allocation in the statistical analysis. frailty criteria will be treated as dichotomous transitioned to frailty that is the number of frailty criteria was 3 or more or did not transition to frailty number of frailty criteria was 0. 1 or 2. other study outcomes as continuous variables. the chi-square test will be used for frailty as a dichotomous variable and linear regression models with baseline values as a covariate will be used for continuous outcomes. we will report between-group differences in percentages or mean with 95 percent confidence intervals at the 4- and 12-month follow-ups. we will test whether the patterns of change in frailty and mobility are modified by the number of frailty criteria present at baseline by including an interaction term of study groups with frailty criteria at baseline in the regression analyses. secondary analyses will also be carried out to explore the effect of different rates of adherence i.e. as a category variable less-than 25 percent 25-49 percent 50-75 percent and greater-than 75 percent on the outcomes in the intervention group at the 12-month follow-up."
"ACTRN12613000046707"	"data will be analysed on an intention-to-treat basis using two-sided tests with p-value less-than 0.05 considered significant. the proportion experiencing a clinically important difference will be compared using the chi-square test at the end of treatment. analysis-of-covariance will be conducted on end of treatment quality of life variables with adjustment for baseline values. continuous variables will be analysed using a generalised linear mixed model glmm with a random intercept for individuals to account for the repeated measurements on individuals. the difference in exacerbation rate between the two groups will be compared using a poisson regression model. the time to first asthma exacerbation will be analysed using kaplan-meier plots and a log-rank test with analysis of instantaneous risk described using a cox proportional hazards model. the proportion of participants with one or more exacerbations will be compared using a chi-square test. the institute a s statistician will supervise these analyses."
"ACTRN12613000049774"	"the study will be evaluated using 3 methods data on vaccine doses administered pre and post interviews and information collected in the survey completed each time a parent is screened."
"ACTRN12613000051741"	"multiple imputation will be used to replace missing data. participants treated for bilateral first metatarsophalangeal joint osteoarthritis will be asked to describe symptoms without specific reference to an individual foot i.e. bilateral pain will be evaluated as one independent sample. descriptive data will be determined. one-way repeated measures analysis-of-variance with bonferroni-adjusted post-hoc tests will be used for comparisons of the outcome measurements of foot pain foot-related disability function and level of physical disability between the initial baseline and the one month and three month primary end-point time-points for normally distributed data. differences in plantar pressures between the shoe only versus shoe plus shoe-stiffening insert at baseline and at 3 months will be assessed using paired samples t-test for normally distributed data. non-normally distributed data will be analysed using non-parametric tests. p-value less-than 0.05 will be considered statistically significant."
