unicode,utf8,symbol,label,label_clean,n
<U+200A>,\u200A, ,HAIR SPACE,hair-space,37034
<U+03C7>,\u03C7,χ,GREEK SMALL LETTER CHI,chi,6602
<U+03B3>,\u03B3,γ,GREEK SMALL LETTER GAMMA,gamma,1712
<U+2211>,\u2211,∑,N-ARY SUMMATION,n-ary-summation,1445
<U+03BB>,\u03BB,λ,GREEK SMALL LETTER LAMDA,lamda,1255
<U+03B8>,\u03B8,θ,GREEK SMALL LETTER THETA,theta,1076
<U+03C1>,\u03C1,ρ,GREEK SMALL LETTER RHO,rho,902
<U+03B7>,\u03B7,η,GREEK SMALL LETTER ETA,eta,823
<U+03BA>,\u03BA,κ,GREEK SMALL LETTER KAPPA,kappa,790
<U+2009>,\u2009, ,THIN SPACE,thin-space,715
<U+03C9>,\u03C9,ω,GREEK SMALL LETTER OMEGA,omega,683
<U+2192>,\u2192,→,RIGHTWARDS ARROW,rightwards-arrow,385
<U+03C8>,\u03C8,ψ,GREEK SMALL LETTER PSI,psi,295
<U+02D9>,\u02D9,˙,DOT ABOVE,dot-above,199
<U+03D1>,\u03D1,ϑ,GREEK THETA SYMBOL,theta-symbol,185
<U+03D5>,\u03D5,ϕ,GREEK PHI SYMBOL,phi-symbol,179
<U+2260>,\u2260,≠,NOT EQUAL TO,not-equal-to,159
<U+03F5>,\u03F5,ϵ,GREEK LUNATE EPSILON SYMBOL,lunate-epsilon-symbol,148
<U+2206>,\u2206,∆,INCREMENT,increment,133
<U+03BD>,\u03BD,ν,GREEK SMALL LETTER NU,nu,121
<U+2208>,\u2208,∈,ELEMENT OF,element-of,120
<U+03C5>,\u03C5,υ,GREEK SMALL LETTER UPSILON,upsilon,107
<U+03B6>,\u03B6,ζ,GREEK SMALL LETTER ZETA,zeta,106
<U+222B>,\u222B,∫,INTEGRAL,integral,104
<U+2267>,\u2267,≧,GREATER-THAN OVER EQUAL TO,greater-than-over-equal-to,83
<U+22EF>,\u22EF,⋯,MIDLINE HORIZONTAL ELLIPSIS,midline-horizontal-ellipsis,79
<U+25B3>,\u25B3,△,WHITE UP-POINTING TRIANGLE,white-up-pointing-triangle,74
<U+202C>,\u202C,‬,POP DIRECTIONAL FORMATTING,pop-directional-formatting,73
<U+2227>,\u2227,∧,LOGICAL AND,logical-and,69
<U+FB01>,\uFB01,ﬁ,LATIN SMALL LIGATURE FI,latin-small-ligature-fi,65
<U+2012>,\u2012,‒,FIGURE DASH,figure-dash,59
<U+0307>,\u0307,̇,COMBINING DOT ABOVE,combining-dot-above,53
<U+2061>,\u2061,⁡,FUNCTION APPLICATION,function-application,53
<U+22EE>,\u22EE,⋮,VERTICAL ELLIPSIS,vertical-ellipsis,50
<U+27E8>,\u27E8,⟨,MATHEMATICAL LEFT ANGLE BRACKET,mathematical-left-angle-bracket,50
<U+27E9>,\u27E9,⟩,MATHEMATICAL RIGHT ANGLE BRACKET,mathematical-right-angle-bracket,50
<U+03BE>,\u03BE,ξ,GREEK SMALL LETTER XI,xi,47
<U+2033>,\u2033,″,DOUBLE PRIME,double-prime,47
<U+2642>,\u2642,♂,MALE SIGN,male-sign,47
<U+221D>,\u221D,∝,PROPORTIONAL TO,proportional-to,44
<U+2202>,\u2202,∂,PARTIAL DIFFERENTIAL,partial-differential,43
<U+0283>,\u0283,ʃ,LATIN SMALL LETTER ESH,esh,39
<U+220F>,\u220F,∏,N-ARY PRODUCT,n-ary-product,39
<U+22A5>,\u22A5,⊥,UP TACK,up-tack,38
<U+2266>,\u2266,≦,LESS-THAN OVER EQUAL TO,less-than-over-equal-to,37
<U+2640>,\u2640,♀,FEMALE SIGN,female-sign,36
<U+200B>,\u200B,​,ZERO WIDTH SPACE,zero-width-space,34
<U+0444>,\u0444,ф,CYRILLIC SMALL LETTER EF,ef,33
<U+019E>,\u019E,ƞ,LATIN SMALL LETTER N WITH LONG RIGHT LEG,n-with-long-right-leg,32
<U+2605>,\u2605,★,BLACK STAR,black-star,32
<U+2016>,\u2016,‖,DOUBLE VERTICAL LINE,double-vertical-line,29
<U+0251>,\u0251,ɑ,LATIN SMALL LETTER ALPHA,alpha,27
<U+02C2>,\u02C2,˂,MODIFIER LETTER LEFT ARROWHEAD,modifier-letter-left-arrowhead,27
<U+025B>,\u025B,ɛ,LATIN SMALL LETTER OPEN E,open-e,25
<U+2297>,\u2297,⊗,CIRCLED TIMES,circled-times,23
<U+2225>,\u2225,∥,PARALLEL TO,parallel-to,22
<U+03B9>,\u03B9,ι,GREEK SMALL LETTER IOTA,iota,17
<U+2193>,\u2193,↓,DOWNWARDS ARROW,downwards-arrow,17
<U+2015>,\u2015,―,HORIZONTAL BAR,horizontal-bar,16
<U+0138>,\u0138,ĸ,LATIN SMALL LETTER KRA,kra,14
<U+014B>,\u014B,ŋ,LATIN SMALL LETTER ENG,eng,13
<U+2170>,\u2170,ⅰ,SMALL ROMAN NUMERAL ONE,small-roman-numeral-one,12
<U+2A7D>,\u2A7D,⩽,LESS-THAN OR SLANTED EQUAL TO,less-than-or-equal-to,12
<U+02C3>,\u02C3,˃,MODIFIER LETTER RIGHT ARROWHEAD,modifier-letter-right-arrowhead,10
<U+02C7>,\u02C7,ˇ,CARON,caron,10
<U+043F>,\u043F,п,CYRILLIC SMALL LETTER PE,pe,10
<U+0445>,\u0445,х,CYRILLIC SMALL LETTER HA,ha,10
<U+0454>,\u0454,є,CYRILLIC SMALL LETTER UKRAINIAN IE,ukrainian-ie,10
<U+20D7>,\u20D7,⃗,COMBINING RIGHT ARROW ABOVE,combining-right-arrow-above,10
<U+22F1>,\u22F1,⋱,DOWN RIGHT DIAGONAL ELLIPSIS,down-right-diagonal-ellipsis,10
<U+1D45B>,\u1D45B,ᵅB,MATHEMATICAL ITALIC SMALL N,mathematical-italic-small-n,9
<U+1D4E3>,\u1D4E3,ᵎ3,MATHEMATICAL BOLD SCRIPT CAPITAL T,mathematical-bold-script-capital-t,9
<U+0431>,\u0431,б,CYRILLIC SMALL LETTER BE,be,9
<U+2190>,\u2190,←,LEFTWARDS ARROW,leftwards-arrow,9
<U+2194>,\u2194,↔,LEFT RIGHT ARROW,left-right-arrow,9
<U+2200>,\u2200,∀,FOR ALL,for-all,9
<U+22C6>,\u22C6,⋆,STAR OPERATOR,star-operator,9
<U+FB02>,\uFB02,ﬂ,LATIN SMALL LIGATURE FL,latin-small-ligature-fl,9
<U+1D45A>,\u1D45A,ᵅA,MATHEMATICAL ITALIC SMALL M,mathematical-italic-small-m,8
<U+0240>,\u0240,ɀ,LATIN SMALL LETTER Z WITH SWASH TAIL,z-with-swash-tail,8
<U+0273>,\u0273,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK,n-with-retroflex-hook,8
<U+028C>,\u028C,ʌ,LATIN SMALL LETTER TURNED V,turned-v,8
<U+2191>,\u2191,↑,UPWARDS ARROW,upwards-arrow,8
<U+2A02>,\u2A02,⨂,N-ARY CIRCLED TIMES OPERATOR,n-ary-circled-times-operator,8
<U+2245>,\u2245,≅,APPROXIMATELY EQUAL TO,approximately-equal-to,7
<U+2322>,\u2322,⌢,FROWN,frown,7
<U+25B5>,\u25B5,▵,WHITE UP-POINTING SMALL TRIANGLE,white-up-pointing-small-triangle,7
<U+0213>,\u0213,ȓ,LATIN SMALL LETTER R WITH INVERTED BREVE,r-with-inverted-breve,6
<U+0384>,\u0384,΄,GREEK TONOS,tonos,6
<U+043A>,\u043A,к,CYRILLIC SMALL LETTER KA,ka,6
<U+20D1>,\u20D1,⃑,COMBINING RIGHT HARPOON ABOVE,combining-right-harpoon-above,6
<U+2171>,\u2171,ⅱ,SMALL ROMAN NUMERAL TWO,small-roman-numeral-two,6
<U+222A>,\u222A,∪,UNION,union,6
<U+2252>,\u2252,≒,APPROXIMATELY EQUAL TO OR THE IMAGE OF,approximately-equal-to-or-the-image-of,6
<U+25BD>,\u25BD,▽,WHITE DOWN-POINTING TRIANGLE,white-down-pointing-triangle,6
<U+2A7E>,\u2A7E,⩾,GREATER-THAN OR SLANTED EQUAL TO,greater-than-or-equal-to,6
<U+03AE>,\u03AE,ή,GREEK SMALL LETTER ETA WITH TONOS,eta-with-tonos,5
<U+03C2>,\u03C2,ς,GREEK SMALL LETTER FINAL SIGMA,final-sigma,5
<U+03CA>,\u03CA,ϊ,GREEK SMALL LETTER IOTA WITH DIALYTIKA,iota-with-dialytika,5
<U+03D2>,\u03D2,ϒ,GREEK UPSILON WITH HOOK SYMBOL,upsilon-with-hook-symbol,5
<U+203E>,\u203E,‾,OVERLINE,overline,5
<U+205F>,\u205F, ,MEDIUM MATHEMATICAL SPACE,medium-mathematical-space,5
<U+2207>,\u2207,∇,NABLA,nabla,5
<U+222C>,\u222C,∬,DOUBLE INTEGRAL,double-integral,5
<U+2461>,\u2461,②,CIRCLED DIGIT TWO,circled-digit-two,5
<U+FE38>,\uFE38,︸,PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET,presentation-form-for-vertical-right-curly-bracket,5
<U+01A5>,\u01A5,ƥ,LATIN SMALL LETTER P WITH HOOK,p-with-hook,4
<U+02D7>,\u02D7,˗,MODIFIER LETTER MINUS SIGN,modifier-letter-minus-sign,4
<U+0361>,\u0361,͡,COMBINING DOUBLE INVERTED BREVE,combining-double-inverted-breve,4
<U+03CE>,\u03CE,ώ,GREEK SMALL LETTER OMEGA WITH TONOS,omega-with-tonos,4
<U+0511>,\u0511,ԑ,CYRILLIC SMALL LETTER REVERSED ZE,reversed-ze,4
<U+2172>,\u2172,ⅲ,SMALL ROMAN NUMERAL THREE,small-roman-numeral-three,4
<U+21D2>,\u21D2,⇒,RIGHTWARDS DOUBLE ARROW,rightwards-double-arrow,4
<U+230A>,\u230A,⌊,LEFT FLOOR,left-floor,4
<U+230B>,\u230B,⌋,RIGHT FLOOR,right-floor,4
<U+2460>,\u2460,①,CIRCLED DIGIT ONE,circled-digit-one,4
<U+1D45D>,\u1D45D,ᵅD,MATHEMATICAL ITALIC SMALL P,mathematical-italic-small-p,3
<U+1D461>,\u1D461,ᵆ1,MATHEMATICAL ITALIC SMALL T,mathematical-italic-small-t,3
<U+1D6D5>,\u1D6D5,ᵭ5,MATHEMATICAL BOLD SMALL TAU,mathematical-bold-small-tau,3
<U+1D6FC>,\u1D6FC,ᵯC,MATHEMATICAL ITALIC SMALL ALPHA,mathematical-italic-small-alpha,3
<U+1D70B>,\u1D70B,ᵰB,MATHEMATICAL ITALIC SMALL PI,mathematical-italic-small-pi,3
<U+1D714>,\u1D714,ᵱ4,MATHEMATICAL ITALIC SMALL OMEGA,mathematical-italic-small-omega,3
<U+0263>,\u0263,ɣ,LATIN SMALL LETTER GAMMA,gamma,3
<U+02BB>,\u02BB,ʻ,MODIFIER LETTER TURNED COMMA,modifier-letter-turned-comma,3
<U+0471>,\u0471,ѱ,CYRILLIC SMALL LETTER PSI,psi,3
<U+066D>,\u066D,٭,ARABIC FIVE POINTED STAR,arabic-five-pointed-star,3
<U+1FFD>,\u1FFD,´,GREEK OXIA,oxia,3
<U+2025>,\u2025,‥,TWO DOT LEADER,two-dot-leader,3
<U+2153>,\u2153,⅓,VULGAR FRACTION ONE THIRD,vulgar-fraction-one-third,3
<U+21C0>,\u21C0,⇀,RIGHTWARDS HARPOON WITH BARB UPWARDS,rightwards-harpoon-with-barb-upwards,3
<U+2201>,\u2201,∁,COMPLEMENT,complement,3
<U+2203>,\u2203,∃,THERE EXISTS,there-exists,3
<U+2220>,\u2220,∠,ANGLE,angle,3
<U+2254>,\u2254,≔,COLON EQUALS,colon-equals,3
<U+237A>,\u237A,⍺,APL FUNCTIONAL SYMBOL ALPHA,apl-functional-symbol-alpha,3
