unicode,n,label,label_clean,symbol
\u00e2,6160,LATIN SMALL LETTER A WITH CIRCUMFLEX,a-with-circumflex,â
\u20ac,6148,EURO SIGN,euro-sign,€
\u2122,3244,TRADE MARK SIGN,trade-mark-sign,™
\u201c,860,LEFT DOUBLE QUOTATION MARK,left-double-quotation-mark,“
\u00c2,707,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,latin-capital-letter-a-with-circumflex,Â
\u02dc,604,SMALL TILDE,small-tilde,˜
\u0153,494,LATIN SMALL LIGATURE OE,latin-small-ligature-oe,œ
\u009d,484,,,
\u00a2,440,CENT SIGN,cent-sign,¢
\u00b1,302,PLUS-MINUS SIGN,plus-minus-sign,±
\u00c3,259,LATIN CAPITAL LETTER A WITH TILDE,latin-capital-letter-a-with-tilde,Ã
\u00ae,141,REGISTERED SIGN,registered-sign,®
\u0178,119,LATIN CAPITAL LETTER Y WITH DIAERESIS,latin-capital-letter-y-with-diaeresis,Ÿ
\u00a0,61,NO-BREAK SPACE,no-break-space, 
\u2014,58,EM DASH,em-dash,—
\u00ad,47,SOFT HYPHEN,soft-hyphen,­
\u00b5,43,MICRO SIGN,micro-sign,µ
\u00b7,36,MIDDLE DOT,middle-dot,·
\u00a6,30,BROKEN BAR,broken-bar,¦
\u00b0,25,DEGREE SIGN,degree-sign,°
\u00b4,24,ACUTE ACCENT,acute-accent,´
\u00a9,22,COPYRIGHT SIGN,copyright-sign,©
\u201d,16,RIGHT DOUBLE QUOTATION MARK,right-double-quotation-mark,”
\u00cb,15,LATIN CAPITAL LETTER E WITH DIAERESIS,latin-capital-letter-e-with-diaeresis,Ë
\u00af,14,MACRON,macron,¯
\u00a4,13,CURRENCY SIGN,currency-sign,¤
\u00bc,11,VULGAR FRACTION ONE QUARTER,vulgar-fraction-one-quarter,¼
\u201e,11,DOUBLE LOW-9 QUOTATION MARK,double-low-9-quotation-mark,„
\u00bd,9,VULGAR FRACTION ONE HALF,vulgar-fraction-one-half,½
\u00b3,7,SUPERSCRIPT THREE,superscript-three,³
\u00b6,7,PILCROW SIGN,pilcrow-sign,¶
\u00b2,6,SUPERSCRIPT TWO,superscript-two,²
\u00a1,5,INVERTED EXCLAMATION MARK,inverted-exclamation-mark,¡
\u00b9,4,SUPERSCRIPT ONE,superscript-one,¹
\u00ac,3,NOT SIGN,not-sign,¬
\u00b8,3,CEDILLA,cedilla,¸
\u00a3,2,POUND SIGN,pound-sign,£
\u017e,2,LATIN SMALL LETTER Z WITH CARON,z-with-caron,ž
\u2026,2,HORIZONTAL ELLIPSIS,horizontal-ellipsis,…
\u0081,1,,,
\u00a7,1,SECTION SIGN,section-sign,§
\u00ab,1,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,left-pointing-double-angle-quotation-mark,«
\u00ba,1,MASCULINE ORDINAL INDICATOR,masculine-ordinal-indicator,º
\u00c5,1,LATIN CAPITAL LETTER A WITH RING ABOVE,latin-capital-letter-a-with-ring-above,Å
\u201a,1,SINGLE LOW-9 QUOTATION MARK,single-low-9-quotation-mark,‚
