DOI,topic_id,value
ACTRN12605000055606,1,0.017300694
ACTRN12605000136606,1,0.053124665
ACTRN12606000185561,2,0.064677985
ACTRN12606000491561,1,0.054133798
ACTRN12606000509561,1,0.040629416
ACTRN12607000069459,1,0.031141493
ACTRN12607000312448,1,0.051784936
ACTRN12607000329460,2,0.031644559
ACTRN12607000569404,2,0.08466686
ACTRN12608000014358,2,0.029981634
ACTRN12608000022369,2,0.052266723
ACTRN12608000112369,2,0.059764719
ACTRN12608000122358,2,0.039964575
ACTRN12608000151336,2,0.029164615
ACTRN12608000454370,2,0.039883455
ACTRN12608000461392,2,0.056200635
ACTRN12608000472370,2,0.069033767
ACTRN12608000594325,2,0.101573697
ACTRN12609000210279,1,0.058351989
ACTRN12609000281291,2,0.033463769
ACTRN12609000324213,1,0.045881776
ACTRN12609000371291,1,0.022779514
ACTRN12609000424202,2,0.038039414
ACTRN12609000749202,2,0.05527101
ACTRN12609000818235,1,0.032487894
ACTRN12609000858291,2,0.077817891
ACTRN12609001041246,1,0.054282802
ACTRN12609001078246,1,0.029972499
ACTRN12609001080213,1,0.048536656
ACTRN12610000076077,2,0.079120237
ACTRN12610000100099,1,0.059301822
ACTRN12610000221055,1,0.067099657
ACTRN12610000223033,1,0.030469497
ACTRN12610000243011,2,0.038777924
ACTRN12610000338066,2,0.06364673
ACTRN12610000372088,2,0.036449727
ACTRN12610000418077,1,0.019333142
ACTRN12610000482066,1,0.066765116
ACTRN12610000611022,1,0.080436586
ACTRN12610000717055,2,0.059087282
ACTRN12610000784011,1,0.054133186
ACTRN12610001095055,2,0.086309105
ACTRN12611000017921,2,0.067743021
ACTRN12611000160932,1,0.013837775
ACTRN12611000187943,1,0.019786962
ACTRN12611000208909,1,0.067791308
ACTRN12611000221954,1,0.090315022
ACTRN12611000247976,2,0.059482369
ACTRN12611000500954,2,0.066774014
ACTRN12611000572965,1,0.017829632
ACTRN12611000685910,2,0.041206468
ACTRN12611000763943,2,0.050107772
ACTRN12611000791932,1,0.043085169
ACTRN12611000825954,2,0.053297582
ACTRN12611000878976,1,0.02167957
ACTRN12611000887976,1,0.037680437
ACTRN12611000910909,1,0.022118353
ACTRN12611001029987,1,0.008326092
ACTRN12611001035910,1,0.005974153
ACTRN12611001124921,2,0.028243256
ACTRN12612000005853,1,0.08624274
ACTRN12612000090819,1,0.011973964
ACTRN12612000122853,2,0.088275297
ACTRN12612000161820,2,0.059966372
ACTRN12612000196842,2,0.037172717
ACTRN12612000239864,2,0.061371253
ACTRN12612000453886,2,0.074173296
ACTRN12612000490875,1,0.022008213
ACTRN12612000613808,2,0.031005059
ACTRN12612000694819,1,0.058077282
ACTRN12612000737831,1,0.055828181
ACTRN12612000745842,2,0.099902593
ACTRN12612000795897,1,0.008182209
ACTRN12612000804886,2,0.052448821
ACTRN12612000902897,1,0.043171499
ACTRN12612000924853,1,0.08222907
ACTRN12612000969864,1,0.085937439
ACTRN12612000996864,2,0.012422533
ACTRN12612001069842,2,0.0432413
ACTRN12612001120864,1,0.022069648
ACTRN12612001273875,1,0.078248449
ACTRN12612001277831,1,0.058082651
ACTRN12612001279819,2,0.020550255
ACTRN12612001284853,1,0.053781219
ACTRN12612001286831,2,0.070728486
ACTRN12612001287820,1,0.075286296
ACTRN12612001289808,1,0.02418719
ACTRN12612001297819,1,0.037329252
ACTRN12612001298808,1,0.042651955
ACTRN12612001306808,1,0.038685833
ACTRN12612001311842,1,0.023478415
ACTRN12612001312831,1,0.021454631
ACTRN12613000002785,2,0.034900628
ACTRN12613000003774,1,0.067153622
ACTRN12613000005752,1,0.021454631
ACTRN12613000009718,1,0.052098219
ACTRN12613000013763,1,0.049433822
ACTRN12613000016730,1,0.012527938
ACTRN12613000017729,2,0.052828463
ACTRN12613000021774,1,0.100186921
ACTRN12613000024741,1,0.016048793
ACTRN12613000030774,1,0.04762642
ACTRN12613000033741,1,0.06585569
ACTRN12613000034730,2,0.04398558
ACTRN12613000037707,1,0.03812279
ACTRN12613000038796,1,0.030565991
ACTRN12613000043730,1,0.044832369
ACTRN12613000046707,1,0.086461692
ACTRN12613000049774,1,0.025166251
ACTRN12613000051741,1,0.064717129
ACTRN12613000053729,1,0.041910779
ACTRN12613000057785,1,0.039813766
ACTRN12613000058774,1,0.032172119
ACTRN12613000059763,1,0.058228031
ACTRN12613000060741,1,0.064745212
ACTRN12613000061730,1,0.055827472
ACTRN12613000062729,1,0.033876702
ACTRN12613000064707,1,0.062160437
ACTRN12613000068763,1,0.014794253
ACTRN12613000069752,1,0.072352089
ACTRN12613000073707,1,0.036575664
ACTRN12613000074796,1,0.073136506
ACTRN12613000076774,1,0.016937827
ACTRN12613000078752,1,0.053247305
ACTRN12613000083796,2,0.051179435
ACTRN12613000087752,1,0.073302487
ACTRN12613000088741,1,0.028267843
ACTRN12613000092796,1,0.052963002
ACTRN12613000095763,1,0.093002789
ACTRN12613000098730,1,0.058296785
ACTRN12613000101785,1,0.023955768
ACTRN12613000102774,2,0.065330507
ACTRN12613000105741,1,0.08592132
ACTRN12613000106730,2,0.065016353
ACTRN12613000108718,1,0.072941072
ACTRN12613000109707,1,0.060430398
ACTRN12613000113752,1,0.055300732
ACTRN12613000115730,1,0.089497451
ACTRN12613000117718,1,0.02418719
ACTRN12613000118707,1,0.054723327
ACTRN12613000120774,1,0.063891159
ACTRN12613000125729,1,0.088321565
ACTRN12613000126718,1,0.03976967
ACTRN12613000127707,2,0.078404175
ACTRN12613000128796,1,0.090291127
ACTRN12613000130763,1,0.105672346
ACTRN12613000131752,1,0.042884745
ACTRN12613000133730,1,0.035445116
ACTRN12613000137796,1,0.022051813
ACTRN12613000140752,1,0.020154785
ACTRN12613000141741,1,0.040119425
ACTRN12613000142730,1,0.049136031
ACTRN12613000144718,1,0.007321001
ACTRN12613000145707,1,0.03045315
ACTRN12613000147785,1,0.033667897
ACTRN12613000149763,1,0.07834024
ACTRN12613000152729,2,0.007255027
ACTRN12613000155796,2,0.050571547
ACTRN12613000157774,1,0.022788427
ACTRN12613000159752,2,0.049316616
ACTRN12613000161729,1,0.034393259
ACTRN12613000165785,1,0.029087383
ACTRN12613000167763,1,0.05764399
ACTRN12613000169741,1,0.038608478
ACTRN12613000170729,1,0.050604364
ACTRN12613000171718,2,0.014930217
ACTRN12613000173796,1,0.037867765
ACTRN12613000174785,1,0.045765564
ACTRN12613000179730,1,0.054374341
ACTRN12613000180718,1,0.061137363
ACTRN12613000182796,1,0.046161478
ACTRN12613000184774,1,0.071159293
