DOI,clusterID,value
ACTRN12613000009718,6,0.113286655
ACTRN12613000016730,9,0.032116486
ACTRN12613000021774,3,0.101553779
ACTRN12613000024741,8,0.043679616
ACTRN12613000030774,6,0.039978928
ACTRN12613000033741,9,0.095039816
ACTRN12613000034730,2,0.04266168
ACTRN12613000037707,8,0.04578423
ACTRN12613000043730,9,0.054461428
ACTRN12613000046707,9,0.080153377
ACTRN12613000049774,1,0.035795787
ACTRN12613000051741,1,0.043600882
ACTRN12613000057785,9,0.050953536
ACTRN12613000059763,3,0.043490072
ACTRN12613000060741,1,0.041255814
ACTRN12613000061730,1,0.096051214
ACTRN12613000062729,9,0.051682127
ACTRN12613000068763,6,0.009627201
ACTRN12613000069752,9,0.061800432
ACTRN12613000073707,8,0.037327981
ACTRN12613000074796,1,0.079265618
ACTRN12613000076774,3,0.025385043
ACTRN12613000078752,9,0.080935334
ACTRN12613000083796,9,0.054828387
ACTRN12613000087752,7,0.03575912
ACTRN12613000088741,3,0.040027875
ACTRN12613000092796,3,0.056025059
ACTRN12613000095763,3,0.058643747
ACTRN12613000098730,8,0.068573246
ACTRN12613000101785,7,0.035772972
ACTRN12613000102774,2,0.09938252
ACTRN12613000105741,9,0.076996939
ACTRN12613000106730,4,0.094392698
ACTRN12613000108718,9,0.101373688
ACTRN12613000109707,8,0.051515436
ACTRN12613000113752,9,0.086868333
ACTRN12613000115730,9,0.086488097
ACTRN12613000117718,3,0.070842418
ACTRN12613000118707,6,0.093498442
ACTRN12613000120774,3,0.120074735
ACTRN12613000125729,9,0.099555036
ACTRN12613000126718,9,0.120351592
ACTRN12613000127707,2,0.066895827
ACTRN12613000128796,6,0.089220128
ACTRN12613000130763,3,0.092405633
ACTRN12613000131752,3,0.07214016
ACTRN12613000133730,4,0.053730808
ACTRN12613000137796,9,0.067458754
ACTRN12613000140752,10,0.025649307
ACTRN12613000141741,7,0.057759944
ACTRN12613000142730,1,0.056140597
ACTRN12613000144718,1,0.010657619
ACTRN12613000145707,1,0.049875167
ACTRN12613000147785,9,0.084426514
ACTRN12613000149763,3,0.09139136
ACTRN12613000152729,10,0.019970946
ACTRN12613000155796,5,0.050118958
ACTRN12613000157774,8,0.02296324
ACTRN12613000159752,2,0.083251069
ACTRN12613000161729,9,0.041438075
ACTRN12613000165785,9,0.045359436
ACTRN12613000167763,6,0.05402575
ACTRN12613000169741,9,0.103686938
ACTRN12613000170729,4,0.054698288
ACTRN12613000171718,10,0.048995727
ACTRN12613000173796,10,0.076147506
ACTRN12613000174785,9,0.065369036
ACTRN12613000179730,9,0.083905384
ACTRN12613000180718,1,0.068820947
ACTRN12613000182796,1,0.054875006
