DOI,topic_id,value
ACTRN12605000055606,1,0.02583799
ACTRN12605000136606,1,0.080345391
ACTRN12606000185561,2,0.083893509
ACTRN12606000491561,3,0.049085107
ACTRN12606000509561,4,0.036582581
ACTRN12607000069459,2,0.061923221
ACTRN12607000312448,1,0.048692978
ACTRN12607000329460,5,0.032590929
ACTRN12607000569404,2,0.127859523
ACTRN12608000014358,2,0.052963928
ACTRN12608000022369,2,0.063478416
ACTRN12608000112369,5,0.049735383
ACTRN12608000122358,2,0.025271795
ACTRN12608000151336,5,0.031067907
ACTRN12608000454370,5,0.044590702
ACTRN12608000461392,5,0.063337155
ACTRN12608000472370,5,0.073863451
ACTRN12608000594325,2,0.092915957
ACTRN12609000210279,1,0.078890936
ACTRN12609000281291,5,0.024201904
ACTRN12609000324213,1,0.069630552
ACTRN12609000371291,1,0.025289593
ACTRN12609000424202,2,0.04299167
ACTRN12609000749202,1,0.04927752
ACTRN12609000818235,1,0.056620521
ACTRN12609000858291,2,0.097974147
ACTRN12609001041246,3,0.085086055
ACTRN12609001078246,1,0.045589259
ACTRN12609001080213,4,0.068711089
ACTRN12610000076077,2,0.104790427
ACTRN12610000100099,1,0.087704529
ACTRN12610000221055,2,0.077887758
ACTRN12610000223033,1,0.038948908
ACTRN12610000243011,2,0.044423964
ACTRN12610000338066,1,0.071909959
ACTRN12610000372088,2,0.050987645
ACTRN12610000418077,3,0.035090007
ACTRN12610000482066,1,0.06877254
ACTRN12610000611022,1,0.061151725
ACTRN12610000717055,2,0.054575796
ACTRN12610000784011,1,0.069406411
ACTRN12610001095055,2,0.098513551
ACTRN12611000017921,5,0.067227374
ACTRN12611000160932,3,0.038828722
ACTRN12611000187943,1,0.023744873
ACTRN12611000208909,3,0.116492055
ACTRN12611000221954,1,0.067197348
ACTRN12611000247976,2,0.077552649
ACTRN12611000500954,2,0.060382389
ACTRN12611000572965,1,0.030294609
ACTRN12611000685910,2,0.07319548
ACTRN12611000763943,3,0.046816863
ACTRN12611000791932,1,0.048458965
ACTRN12611000825954,2,0.036128437
ACTRN12611000878976,1,0.037436852
ACTRN12611000887976,3,0.057045063
ACTRN12611000910909,1,0.047476561
ACTRN12611001029987,4,0.024828823
ACTRN12611001035910,3,0.013444016
ACTRN12611001124921,1,0.03406904
ACTRN12612000005853,3,0.070951243
ACTRN12612000090819,1,0.012117753
ACTRN12612000122853,2,0.062136694
ACTRN12612000161820,5,0.083276604
ACTRN12612000196842,2,0.034625548
ACTRN12612000239864,2,0.054752294
ACTRN12612000453886,2,0.107669759
ACTRN12612000490875,1,0.032146203
ACTRN12612000613808,1,0.040039838
ACTRN12612000694819,1,0.080877527
ACTRN12612000737831,3,0.128347832
ACTRN12612000745842,2,0.073466228
ACTRN12612000795897,1,0.015753346
ACTRN12612000804886,5,0.04098468
ACTRN12612000902897,1,0.049342051
ACTRN12612000924853,1,0.105650389
ACTRN12612000969864,3,0.081893906
ACTRN12612000996864,2,0.014996379
ACTRN12612001069842,3,0.041056501
ACTRN12612001120864,1,0.032021498
ACTRN12612001273875,4,0.071295617
ACTRN12612001277831,1,0.076297228
ACTRN12612001279819,4,0.036022047
ACTRN12612001284853,3,0.043250774
ACTRN12612001286831,1,0.062451688
ACTRN12612001287820,1,0.068013951
ACTRN12612001289808,3,0.073961908
ACTRN12612001297819,3,0.071221547
ACTRN12612001298808,4,0.065776944
ACTRN12612001306808,1,0.059182088
ACTRN12612001311842,3,0.018717155
ACTRN12612001312831,1,0.03374316
ACTRN12613000002785,4,0.04660712
ACTRN12613000003774,3,0.064444452
ACTRN12613000005752,1,0.03374316
ACTRN12613000009718,4,0.084886346
ACTRN12613000013763,3,0.04844247
ACTRN12613000016730,1,0.019206791
ACTRN12613000017729,2,0.035662058
ACTRN12613000021774,3,0.145922962
ACTRN12613000024741,3,0.019598036
ACTRN12613000030774,4,0.081037684
ACTRN12613000033741,1,0.08977481
ACTRN12613000034730,2,0.068829326
ACTRN12613000037707,3,0.031701516
ACTRN12613000038796,1,0.01967425
ACTRN12613000043730,1,0.041799232
ACTRN12613000046707,3,0.071209054
ACTRN12613000049774,4,0.037436525
ACTRN12613000051741,3,0.066589526
ACTRN12613000053729,1,0.062702693
ACTRN12613000057785,1,0.045160247
ACTRN12613000058774,4,0.021644563
ACTRN12613000059763,3,0.073904244
ACTRN12613000060741,3,0.05773072
ACTRN12613000061730,4,0.099963779
ACTRN12613000062729,1,0.028153097
ACTRN12613000064707,1,0.069442519
ACTRN12613000068763,3,0.019724756
ACTRN12613000069752,1,0.075817835
ACTRN12613000073707,3,0.049917436
ACTRN12613000074796,3,0.055568791
ACTRN12613000076774,3,0.04616261
ACTRN12613000078752,1,0.058090766
